ID,E1,E2,E3,E4,E5,forms_completados
1,1,1,1,1,1,5
2,1,1,1,1,1,5
3,1,1,1,1,1,5
4,1,1,1,1,1,5
5,1,1,1,1,1,5
6,1,1,1,0,0,3
7,1,1,1,1,1,5
8,1,1,1,1,1,5
9,1,1,1,1,1,5
10,1,1,1,1,1,5
11,1,1,1,1,1,5
12,1,0,0,0,0,1
13,1,1,1,1,1,5
14,1,1,1,1,1,5
15,1,1,1,1,1,5
16,1,1,1,1,1,5
17,1,1,1,1,1,5
18,1,1,1,1,1,5
19,0,0,1,0,0,1
20,1,1,1,1,1,5
21,1,1,1,1,1,5
22,1,1,1,1,1,5
23,1,1,1,1,1,5
24,1,1,1,1,1,5
25,1,1,1,1,1,5
26,1,1,1,1,1,5
27,1,1,1,1,1,5
28,1,0,0,0,0,1
29,1,1,1,1,1,5
30,1,1,1,1,1,5
31,1,1,1,1,1,5
32,1,1,1,1,1,5
33,1,0,0,0,0,1
34,1,1,1,1,1,5
35,1,1,1,1,1,5
36,1,1,1,1,1,5
37,0,1,0,0,0,1
38,1,1,1,1,1,5
39,1,1,1,1,1,5
40,1,1,1,1,1,5
41,1,1,1,1,1,5
42,1,1,1,1,1,5
43,1,1,1,1,1,5
44,1,1,1,1,1,5
45,1,1,1,1,1,5
46,1,1,1,1,1,5
47,1,1,1,0,0,3
48,1,1,1,1,1,5
49,1,1,1,1,1,5
50,1,1,1,1,1,5
51,1,1,1,1,1,5
52,1,1,1,1,1,5
53,0,1,1,1,1,4
54,1,1,1,1,1,5
55,1,1,1,1,1,5
