pronombre,equipo,pais,nivel_educativo,area_formacion,investigacion,investigacion_anios,conoces_proyecto,conoces_pgd,conoces_hipotesis,conoces_datos,conoces_codigo,conoces_instrumentos,conoces_resultados1,conoces_resultados2,animas,importante_preregistrar,importante_instrumentos,importante_datosocodigo,importante_resultados1,importante_resultados2
El,"Sí, participaré junto con otras personas con las que trabajo",Venezuela,Posgrado completo,Engineering,Sí,20,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,"publicar los instrumentos usados para recolectar datos?, publicar datos o código en repositorios abiertos?, publicar resultados en revistas de acceso abierto?, difundir resultados en medios como blogs, publicaciones en redes sociales, o podcasts, entre otros?",Muy importante,Muy importante,Muy importante,Muy importante,Muy importante
Ella,"Sí, participaré junto con otras personas con las que trabajo",Argentina,Posgrado incompleto,Social Sciences,No,NA,Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,publicar datos o código en repositorios abiertos?,No sé,Importante,Importante,Importante,Importante
Ella,"Sí, participaré junto con otras personas con las que trabajo",Argentina,Posgrado completo,Exact and Natural Sciences,Sí,15,No conozco esta práctica,No conozco esta práctica,No conozco esta práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,Conozco la práctica pero nunca la he aplicado,"publicar los instrumentos usados para recolectar datos?, publicar datos o código en repositorios abiertos?, publicar resultados en revistas de acceso abierto?",Neutral,Muy importante,Muy importante,Muy importante,Importante
Ella,"No, participaré por mi cuenta",Argentina,Universitario/terciario completo,Exact and Natural Sciences,Sí,7,No conozco esta práctica,No conozco esta práctica,No conozco esta práctica,Conozco la práctica pero nunca la he aplicado,No conozco esta práctica,No conozco esta práctica,Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,"difundir resultados en medios como blogs, publicaciones en redes sociales, o podcasts, entre otros?",No sé,No sé,Muy importante,Muy importante,Muy importante
El,"No, participaré por mi cuenta",Argentina,Posgrado completo,Humanities,Sí,2,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,"publicar datos o código en repositorios abiertos?, publicar resultados en revistas de acceso abierto?",Neutral,Importante,Importante,Muy importante,Neutral
Ella,"Sí, participaré junto con otras personas con las que trabajo",Argentina,Posgrado completo,Health Sciences,Sí,25,No conozco esta práctica,Conozco la práctica pero nunca la he aplicado,No conozco esta práctica,He aplicado la práctica,No conozco esta práctica,Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,He aplicado la práctica,"publicar datos o código en repositorios abiertos?, publicar resultados en revistas de acceso abierto?",Muy importante,Muy importante,Importante,Muy importante,Neutral
Ella,"No, participaré por mi cuenta",Argentina,Posgrado incompleto,Social Sciences,Sí,12,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,No aplica/No sé/Prefiero no contestar,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,"difundir resultados en medios como blogs, publicaciones en redes sociales, o podcasts, entre otros?",Muy importante,Muy importante,Muy importante,Muy importante,Muy importante
Ella,"No, participaré por mi cuenta",Argentina,Posgrado completo,Exact and Natural Sciences,Sí,15,No conozco esta práctica,No conozco esta práctica,No conozco esta práctica,Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,No conozco esta práctica,He aplicado la práctica,Conozco la práctica pero nunca la he aplicado,"publicar datos o código en repositorios abiertos?, publicar resultados en revistas de acceso abierto?",No sé,No sé,Importante,Muy importante,Muy importante
El,"No, participaré por mi cuenta",Argentina,Posgrado completo,Social Sciences,Sí,21,Conozco la práctica pero nunca la he aplicado,No conozco esta práctica,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,"publicar datos o código en repositorios abiertos?, publicar resultados en revistas de acceso abierto?",Importante,Importante,Importante,Importante,Importante
Ella,"Sí, participaré junto con otras personas con las que trabajo",Argentina,Posgrado completo,Social Sciences,Sí,12,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,No aplica/No sé/Prefiero no contestar,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,"publicar los instrumentos usados para recolectar datos?, publicar resultados en revistas de acceso abierto?, difundir resultados en medios como blogs, publicaciones en redes sociales, o podcasts, entre otros?",No sé,Muy importante,Muy importante,Muy importante,Muy importante
